true_class,predicted_class,predicted_value
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.81
Watching TV,Transfer To Bed,0.14
Watching TV,Talking on the Phone,0.05
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,1.0
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Transfer To Bed,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,0.98
Watching TV,Nurse Visit,0.01
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.98
Watching TV,Nurse Visit,0.01
Watching TV,Transfer To Bed,0.0
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Family,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.54
Watching TV,Nurse Visit,0.41
Watching TV,Transfer To Bed,0.02
Watching TV,Talking on the Phone,0.02
Watching TV,Eating,0.01
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.86
Watching TV,Transfer To Bed,0.1
Watching TV,Talking on the Phone,0.03
Watching TV,Eating,0.01
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,1.0
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Transfer To Bed,0.0
Watching TV,EVS Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,0.48
Watching TV,Transfer To Bed,0.35
Watching TV,Talking on the Phone,0.15
Watching TV,Eating,0.01
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Doctor Visit,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,1.0
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Transfer To Bed,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,0.96
Watching TV,Talking on the Phone,0.04
Watching TV,Transfer To Bed,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Eating,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.95
Watching TV,Transfer To Bed,0.04
Watching TV,Nurse Visit,0.01
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.66
Watching TV,Eating,0.33
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.83
Watching TV,Nurse Visit,0.17
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Transfer To Bed,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.96
Watching TV,Transfer To Bed,0.03
Watching TV,Nurse Visit,0.01
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.98
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.98
Watching TV,Nurse Visit,0.01
Watching TV,Eating,0.01
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Therapy,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.96
Watching TV,Transfer To Bed,0.03
Watching TV,Eating,0.01
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.56
Watching TV,Transfer To Bed,0.43
Watching TV,Talking on the Phone,0.01
Watching TV,Therapy,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,EVS Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.86
Watching TV,Talking on the Phone,0.06
Watching TV,Nurse Visit,0.06
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,EVS Visit,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.93
Watching TV,Transfer To Bed,0.05
Watching TV,Talking on the Phone,0.02
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Transfer To Bed,0.61
Watching TV,Watching TV,0.35
Watching TV,Talking on the Phone,0.02
Watching TV,Therapy,0.01
Watching TV,Eating,0.01
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.85
Watching TV,Transfer To Bed,0.13
Watching TV,Talking on the Phone,0.01
Watching TV,Therapy,0.01
Watching TV,Eating,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Family,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.69
Watching TV,Transfer To Bed,0.3
Watching TV,Talking on the Phone,0.01
Watching TV,Therapy,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,EVS Visit,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Eating,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Nurse Visit,0.0
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.72
Watching TV,Transfer To Bed,0.27
Watching TV,Talking on the Phone,0.01
Watching TV,Therapy,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.85
Watching TV,Nurse Visit,0.13
Watching TV,Eating,0.01
Watching TV,Therapy,0.01
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.66
Watching TV,Transfer To Bed,0.33
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.94
Watching TV,Nurse Visit,0.02
Watching TV,Transfer To Bed,0.02
Watching TV,Talking on the Phone,0.01
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.82
Watching TV,Transfer To Bed,0.16
Watching TV,Therapy,0.01
Watching TV,Talking on the Phone,0.01
Watching TV,Eating,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.81
Watching TV,Talking on the Phone,0.12
Watching TV,Transfer To Bed,0.05
Watching TV,Therapy,0.01
Watching TV,Nurse Visit,0.0
Watching TV,Eating,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,1.0
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.93
Watching TV,Transfer To Bed,0.06
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Transfer To Bed,0.37
Watching TV,Watching TV,0.37
Watching TV,Talking on the Phone,0.24
Watching TV,Eating,0.01
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Doctor Visit,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Transfer To Bed,0.57
Watching TV,Watching TV,0.43
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Doctor Visit,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Eating,0.0
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.96
Watching TV,Transfer To Bed,0.02
Watching TV,Eating,0.01
Watching TV,Talking on the Phone,0.01
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,1.0
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Transfer To Bed,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Therapy,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Family,0.0
Watching TV,Watching TV,0.92
Watching TV,Transfer To Bed,0.03
Watching TV,Talking on the Phone,0.02
Watching TV,Nurse Visit,0.02
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.98
Watching TV,Nurse Visit,0.01
Watching TV,Eating,0.01
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Family,0.0
Watching TV,EVS Visit,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Nurse Visit,0.01
Watching TV,Transfer To Bed,0.0
Watching TV,Eating,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Therapy,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.99
Watching TV,Transfer To Bed,0.01
Watching TV,Talking on the Phone,0.0
Watching TV,Eating,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Therapy,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,1.0
Watching TV,Transfer To Bed,0.0
Watching TV,Talking on the Phone,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Eating,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Therapy,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Watching TV,Doctor Visit,0.0
Watching TV,Watching TV,0.62
Watching TV,Transfer To Bed,0.31
Watching TV,Talking on the Phone,0.07
Watching TV,Eating,0.0
Watching TV,Therapy,0.0
Watching TV,Nurse Visit,0.0
Watching TV,Lying In Bed,0.0
Watching TV,Asleep-Trying to sleep,0.0
Watching TV,Sitting In Wheelchair,0.0
Watching TV,Doctor Visit,0.0
Watching TV,EVS Visit,0.0
Watching TV,Family,0.0
Asleep-Trying to sleep,Therapy,0.41
Asleep-Trying to sleep,Transfer To Bed,0.19
Asleep-Trying to sleep,Talking on the Phone,0.19
Asleep-Trying to sleep,Asleep-Trying to sleep,0.09
Asleep-Trying to sleep,Lying In Bed,0.08
Asleep-Trying to sleep,Eating,0.02
Asleep-Trying to sleep,Nurse Visit,0.01
Asleep-Trying to sleep,Watching TV,0.01
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Talking on the Phone,1.0
Asleep-Trying to sleep,Therapy,0.0
Asleep-Trying to sleep,Transfer To Bed,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Asleep-Trying to sleep,0.0
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Therapy,0.88
Asleep-Trying to sleep,Asleep-Trying to sleep,0.11
Asleep-Trying to sleep,Nurse Visit,0.01
Asleep-Trying to sleep,Transfer To Bed,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Asleep-Trying to sleep,0.93
Asleep-Trying to sleep,Transfer To Bed,0.07
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Therapy,0.0
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Therapy,0.94
Asleep-Trying to sleep,Asleep-Trying to sleep,0.06
Asleep-Trying to sleep,Transfer To Bed,0.0
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Asleep-Trying to sleep,0.75
Asleep-Trying to sleep,Nurse Visit,0.1
Asleep-Trying to sleep,Eating,0.08
Asleep-Trying to sleep,Therapy,0.03
Asleep-Trying to sleep,Lying In Bed,0.02
Asleep-Trying to sleep,Talking on the Phone,0.02
Asleep-Trying to sleep,Transfer To Bed,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Transfer To Bed,0.67
Asleep-Trying to sleep,Therapy,0.28
Asleep-Trying to sleep,Asleep-Trying to sleep,0.05
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Transfer To Bed,0.82
Asleep-Trying to sleep,Therapy,0.14
Asleep-Trying to sleep,Asleep-Trying to sleep,0.04
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Therapy,0.68
Asleep-Trying to sleep,Transfer To Bed,0.29
Asleep-Trying to sleep,Asleep-Trying to sleep,0.04
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,EVS Visit,0.0
Asleep-Trying to sleep,Family,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Asleep-Trying to sleep,1.0
Asleep-Trying to sleep,Sitting In Wheelchair,0.0
Asleep-Trying to sleep,Eating,0.0
Asleep-Trying to sleep,Nurse Visit,0.0
Asleep-Trying to sleep,Therapy,0.0
Asleep-Trying to sleep,Talking on the Phone,0.0
Asleep-Trying to sleep,Doctor Visit,0.0
Asleep-Trying to sleep,Watching TV,0.0
Asleep-Trying to sleep,Lying In Bed,0.0
Asleep-Trying to sleep,Family,0.0
